,Game Of Thrones S07E01 Dragonstone.srt,Game Of Thrones S07E02 Stormborn.srt,Game Of Thrones S07E03 The Queen's Justice.srt,Game Of Thrones S07E04 The Spoils Of War.srt,Game Of Thrones S07E05 Eastwatch.srt,Game Of Thrones S07E06 Beyond The Wall.srt,Game Of Thrones S07E07 The Dragon And The Wolf.srt
590,- I hope it's a girl. - Why?,"He was my brother at the Night's Watch,","After a single meeting,",( screams echoing ),"She has the numbers. If we want to beat her, we have to be clever.",Maybe the Lord brought me here to find it.,He's a part of you.
591,Girls take care of their papas when their papas grow old.,a man I trust as much as anyone in this world.,it's not a reasonable thing to ask.,( dragon roaring ),We have to fight her like Father would have.,Every lord I've ever met's been a cunt.,Just like he's a part of me.
592,Boys just go off to fight in someone else's wars.,He's discovered proof that Dragonstone,"So, do you have anything reasonable to ask?",Take cover!,"Dead men, dragons, and Dragon Queens...",Don't see why the Lord of Light should be any different.,But the things I've done...
593,Man ♪2: Are you old enough to drink?,sits on a mountain of dragonglass.,What do you mean?,"Come on, you fucker.","Whatever stands in our way,",Wolkan: My lady.,It's not my place to forgive you for all of it.
594,( laughing ),( all murmuring ),Maybe you are a Northern fool.,Dracarys.,we will defeat it.,My lady?,"But what I can forgive,"
595,It's blackberry wine.,I received this a few days ago,I'm asking if there's something I can do to help you.,( roaring ),"For ourselves, for our house,",It's an invitation to King's Landing.,I do.
596,I made it myself.,from Dragonstone.,- Dragonglass? - Tyrion: Yes.,( yelps ),for this.,"My lady, you are the Lady of Winterfell.",You don't need to choose.
597,It's really good.,It was sent to me by Tyrion Lannister.,"Volcanic glass, obsidian.",( dragon crying out ),Who will you say is the father?,"I am, and you will represent my interests",You're a Greyjoy...
598,"So, why is a nice girl on her own heading to King's Landing?",( all murmuring ),He says you have a tremendous amount of it here.,( panting ),You.,at this gathering as you see them.,and you're a Stark.
599,I'm going to kill the queen.,He is now Hand of the Queen to Daenerys Targaryen.,Why are we talking about glass?,( men screaming ),People won't like that.,They invited you. They want you there.,"When I was Ramsay's prisoner,"
6,JON SNOW: The war is not over.,SAM: I traveled south,I may have found a way to treat Ser Jorah.,with a possible ally.,"and the army of the dead is the Wall,",to keep the king's peace.,at this gathering as you see them.
60,That's what I say!,I did.,"Tyrion: At some point,",- Man: Move out! - Jaime: They're not mine.,"burn down your homes,",How many of his people died for his pride?,( seagulls screeching )
600,( wind howling ),She intends to take the Iron Throne from Cersei Lannister.,We just lost two of our allies.,( roaring ),Do you remember what Father used to say about people?,I will not set foot in King's Landing,Yara tried to save me.
601,Thoros: Bad night to be outdoors.,She has a powerful army at her back,"Which is why I was speaking to Jon Snow, a potential ally.",( grunting ),The lion does not concern himself with the opinions of the sheep.,while Cersei Lannister is queen.,She's the only one
602,The Hound: You've got real powerful magic to figure that out.,"and, if this message is to be believed,",And what does the King in the North want with dragonglass?,( grunting ),Never betray me again.,"If they want another Stark prisoner,",who tried to save me.
603,Did the Lord of Light whisper that in your ear?,three dragons.,"Apparently, it can be turned into weapons",( roaring ),Davos: We're leaving today.,they can come and take me.,( sniffles )
604,"""It's snowing, Thoros. It's windy.",( all murmuring ),that kill white walkers and their foot soldiers.,"Flee, you idiot.",- The king's got a lot on his mind. - I understand.,"Until then, I'll remain where I belong.",She needs me now.
605,"It's gonna be a cold night.""",Jon: Lord Tyrion has invited me to Dragonstone,Or stop them.,"- Come on, boy. Come on! - ( horse neighs )",He doesn't need to be thinking about harboring the bastard of a dead king.,I have work to do here.,"So, why are you still talking to me?"
606,"You're a grouchy old bear, aren't you, Clegane?",to meet with Daenerys.,Destroy them.,You idiot. You fucking idiot.,"- You don't have to worry. - You're just Clovis,",- ( paper thuds ) - ( fire crackling ),Harrag: Load up.
607,You want some rum?,And I'm going to accept.,Unsure about the nomenclature.,( grunts ),a smith who's come to pay his respects,It's not safe.,"Load up, lads. Go on."
608,Don't like that shit. It's too sweet.,- ( all shouting ) - Man: Accept?!,And what do you think about this Army of the Dead,( music playing ),before he heads off to work at the Winterfell forges.,Ser Jaime will be there.,- ( chatter ) - Tide's coming in.
609,Why are you always in such a foul mood?,"We need this dragonglass, my lords!",and white walkers and Night Kings?,,Understood.,You said he treated you honorably before.,All of us chose to follow Yara.
61,- ( all cheering ) - Yes!,And then you served the man who overthrew him.,I want to hear how a Night's Watch recruit became King in the North.,This all belongs to the Iron Bank.,"murder you, and orphan your children.","You still mad at us, boy?",Cersei: Why isn't she with them?
610,Experience.,We know that dragonglass can destroy,I'd very much like to believe that Jon Snow is wrong.,,- ( hammering ) - ( chatter ),I'm not worried about me.,We left the Iron Islands for Yara.
611,This seems like a good place to spend the night.,both white walkers and their army.,But a wise man once said that you should never believe a thing,,"Begging your pardon, Your Grace.",It's not safe leaving you with Littlefinger.,She would never leave one of us behind.
612,These people don't want us here.,We need to mine it and turn it into weapons.,simply because you want to believe it.,,You survived King's Landing.,I have many guards who would happily,We're not leaving her behind.
613,Beric: Seems deserted to me. No livestock.,"But more importantly, we need allies!",Which wise man said this?,,"Yet again. Your Grace, this is Clo--",imprison him or behead him,Your sister's dead.
614,No smoke coming from the chimney.,The Night King's army grows larger by the day.,I don't remember.,,"Name's Gendry, Your Grace.",whether or not you're here.,- She's not dead. - She's dead.
615,I don't like the look of it.,We can't defeat them on our own.,Are you trying to present your own statements as ancient wisdom?,,I'm Robert Baratheon's son.,And you trust their loyalty?,"Even if Euron hasn't cut her throat yet, she's dead."
616,"For a big, hard man, you scare easy.",We don't have the numbers.,I would never do that.,,Bastard son.,You trust he hasn't been speaking to them all behind your back?,"- She's our queen. - She's your sister, and you left her to die."
617,I'll tell you what doesn't scare me--,Daenerys has her own army and she has dragonfire.,To you.,,He was meant to keep that to himself.,Let me at least leave Podrick behind to watch over you.,I did.
618,bald cocksuckers like you.,I need to try and persuade her to fight with us.,The reason I believe Jon Snow is because he's here.,,Our fathers trusted each other.,He has become a competent swordsman--,I ran from my uncle.
619,You think you're fooling anyone with that top knot?,"Ser Davos and I will ride for White Harbor tomorrow,",All of his advisors would have told him not to come.,,Why shouldn't we?,I do not need to be watched over or minded or cared for.,I was a coward.
62,( snaps fingers ),"I had a choice, Your Grace--",As long as you tell me how a Lannister,See? We pay our debts.,"That's Cersei Lannister, not me.",You sold me to a witch.,"Qyburn: I'm afraid I don't know, Your Grace."
620,Bald cunt.,then sail for Dragonstone.,I would have told him not to come.,,I saw your father once at Winterfell.,"I'm not a child,","So, why in fuck's name should we listen to you?"
621,Come on.,Have you forgotten what happened to our grandfather?,And he's here anyway.,,I met yours in my shop.,"I am the Lady of Winterfell, and I am home.",They say the dead can't swim.
622,Maybe they've got some ale hidden away.,The Mad King invited him to King's Landing,You don't have to believe him.,,- You're a lot leaner. - And you're a lot shorter.,This is the safest place for me.,"We're going to sail east,"
623,They don't.,- and roasted him alive. - I know that.,Let him mine the dragonglass.,,I grew up on stories about them.,"My lady,","find a nice, quiet island,"
624,( distant men chattering ),She is here to reclaim the Iron Throne and the Seven Kingdoms.,"If he's wrong, it's worthless.",,All I ever knew is that they fought together and won.,I swore an oath to protect you and your sister.,"kill all the men, and take their wives for ourselves."
625,See if there's a larder.,The North is one of those seven kingdoms.,You didn't even know it was here.,,"Ser Davos told me where you're going, Your Grace, and why.","- If I abandon you-- - The trip to King's Landing is long, Lady Brienne,",- We're done with all that. - Who says we are?
626,They always leave something behind.,This isn't an invitation; it's a trap.,It's nothing to you.,,Let me come with you.,and you won't be traveling on summer roads.,Yara did. She made a pledge.
627,( blows ),"It could be, but I don't believe Tyrion would do that.",Give him something by giving him nothing.,,Don't be a fool. You're not a soldier.,"The sooner you leave, the better your chances of making it on time.","We're going to find her,"
